Sentiments,Reviews
negative,they sent it without the box just in bubble wrap. I received this good in twisted and pressed condition.
negative,glasses is very bad
negative,This product is totally rubish and not fine i recieved it in 4 days and after a lot of time they sent me this
negative,totally waist of money use less item 😒 Glass Quelity is too much bad also frame I can't recommend to others.
positive,"I recived Parcel on time
 Quality of glasses is good and light waighted easy for wear 
 Great look in very low price 
 Thanku daraz"
positive,Thkz daraz🎉🎉🤗👏 that are so good in this price i ordered 2 and they both are too good thanks for not disappointing me daraz 😊😊🤗🤗
positive,Excellent Product Recieved on time in a day.Its my 3rd purchase and all are best.Highy recommended seller.❣️
negative,"Not good, Glass is blurred and scratched, not satisfied😔😔😔"
negative,"cheap material, not same as shown in picture. Even frame is not aligned. low quality product."
positive,"I really like it . 
 It was amazing. 
 And very safely packed"
neutral,good quality ☺️ light weight and attractive but issue is only one glasses size is larger
neutral,all okay but Packing need to improve
neutral,nice but need quality improve & nose figure not fit
negative,not same 😭😭😭😭 and glasses was srached 😭😭😭😭
neutral,good product nice quality and design but a little bit oversized but overall good
neutral,"over all very good experience but glass size is very big, it must be lit bit small. but received fully packed and i prefer to shop it again.."
negative,I ordered gray glasses and see what they would deliver to me after waiting for 1 week. I am very disappointed with the product seller. Check out the bifocal's material quality and its slim frame. The product is the opposite of my expectations. I recommend you all buy from the local people on the footpath. They will sell best at this price.
positive,Good Quality and good pakging and I thin th anti blue light and design was Good and stylish look and delivery was Awsom in under 2 weeks parcel has received to me Iike it…
neutral,Okay so the packaging was not good right off the bat it was very cheap I despise the seller because of carelessness because there was also no box with it and it could've been damaged and i also payed more then i was supposed to as you can see in the picture the amount is 574 but I Payed 600 rupees it's not a a big deal but still it's a problem to be known .But I do like the product it's cute it's fun it's not for clumsy people but I like the product itself
positive,Nice 👌 thanks 😊 ❤️🫶🏻
negative,size issue
negative,"Not UV light breaker, it comes with simple transparent mirrors with 3rd class quality frame that can easily be bend. Don't waste your money, that doesn't even worth of 150-PKR/-"
negative,Very Low Quality Product and Bad Finishing.the Item was Damage and Having Scratches.Very Disappointed From Seller.
negative,not send same as shown in pics quality is too bad glasses are also bad quality totally not satisfied. shame on you.
negative,"The product was packaged Excellently as you can view in pictures. Product quality is ok. But the lens quality is very poor it sometimes blinds you out. Its not good antiglare, maybe if you could replace the lens with some good aniglare lens."
positive,order received well in time and was in good packing. quality is also good and same as shown. it is recommended.
negative,Seller is very bad
positive,The product is good. Definitely worth Rs. 200. USeful for bike riders
negative,"Very fast delivery and very nice packing rider is also awesome but glasses quality voice is not good ordered new it looks like second hand and the glasses of the glasses came out I installed them myself and in the glass of the glasses There is also a scratch. 😔 Well, so far my online purchase experience from daraz has been very good but it has been a huge setback for two times, one after the other. I am not satisfied this product 💔"
positive,"what a fantastic product
 its really beautiful
 the quality is great
 thank you sooo much
 i am in Love now"
positive,good stuff
negative,6 pairs of socks with 3 colors and look at the color family i order …. fraud seller SHAME on you Eating dirty
positive,in this budget wow product is very nice and same
negative,fabric wise it’s okay but as for the quality I am completely not satisfied. I ordered the black one and according to the reference picture its supposed to be black but NO! It’s not black but GREY instead. Plus it not even transparent the way it’s supposed to be and the way it looks in the picture. I would recommend the seller to please do not just upload the product picture from some online source but actually capture the pictures so that the customers can guess the quality from the picture atleast.
negative,"Don’t order they are selling a fraud product
 Not what’s shown 
 And pathetic customer service 
 Very disappointed"
positive,"These are good if used with care, I am satisfies"
negative,product quality wasn't up to the mark
positive,"Fabric quality is very well , beautiful and unique style.
 I recommend this dealer to visitors"
neutral,stuff was really good but stitching was upside down on garter bel
neutral,Very attractive I look sexy but slight tight. Recommended Daraz and seller
positive,fab❤ i like it
neutral,dear seller i recieved my parcel but garter belt one lock is broken how can i changed my product????
neutral,perfect but too expensive according to quality nd cheap stuff
positive,most beautiful nighty i like it
positive,Today I'm very Happy I received my order 😊.It's best quality nighty.
positive,"Nice dress and well packed Highly recommend must Buy, seller has the positive attitude that when he doesn't have the same product as shown in picture he contacted me and show me the same more designs and send the same design as he promised."
positive,these fishnet stocking suits are too good. sellers sent me the same designs for which I asked them. delivery was also super
positive,its amazing same as shown seller was also so cooperative .... happy shopping 🛍️
positive,"Awesome quality in this price and same as shown design. Too good for this price, the seller is very helpful and responsive even in the late hours. Recommended 10/10"
positive,"very nice 👍, product is fine , sellar cooperative, reached safe and within time"
positive,good for honeymoon
positive,"great customer service, arrived on time, really soft net. recommended."
neutral,quality doesn't add up like pic
negative,Useless sizes
positive,"comes exactly what I ordered , recommended"
positive,too good and stretchable! totally loved it!!!!
positive,i like it ☺️
neutral,Looks good but as soon as I pulled it up the crotch ripped a bit. Quality not the best but still wearable
positive,quality was great! perfect fishnets I was happy :)
negative,No good packing and bad quality
negative,this is really a change colour and bad quality
positive,this seller is a very honest man👌 he sells original products to his customers overall good experience 😍😀👍
neutral,Metal product but chain is a little weak
negative,Trash broke on the second day
positive,"i got the same what i ordered bestquality and low price 
 always good shopping experience with daraz"
neutral,they r fine for the price.size is extremely right.i can see the joints in my bangles which shouldn't b there.over all ok
neutral,Quality was good but 12 bangles were of large size and other 12 was of small size which don't fit me😒
neutral,Bangles are nice but i think they sent the wrong size. Delivered on time
positive,best bangles .so pretty
positive,💯 satisfied... Recommend
neutral,Its nice but the only thing that needs to improve is you must mention the sizes chart. It would help alot of us.
positive,"i received same as pics. I couldn't upload pic because I gifted to my sister . 
 recommend to everyone.."
negative,very poor experience they send wrong size.
negative,returned the product. wrong size.
positive,Perfect just worth the price
negative,they had sent the wrong size
positive,fully satisfied with it!
negative,very cheap product 😡 pathetic
negative,This is broken 😕
neutral,i ordered in gold but wht i received is silver
positive,"nice & beautiful .good packaging safely delivered 
 thanx daraz thanx seller"
positive,"Daraz service 10/10
 Seller cooperation 10/10
 Delivery attempt 10/10"
positive,these bangles are just awesome and beautiful...so colorful and light weight...easy to carry...100/100
positive,I ordered 3 set for my daughters.. They all like it.. Its lovely and look beautiful in thier hand.. Thanks
positive,Beautiful Bangles. Accurate in Size. Quality is also good. Thanks seller
positive,"It always brings me a joy whenever I receive my parcels, because online shopping is analogous to send gifting to your own self.. 
 It really pampers me when I see the stuff better than my expectations.. 
 Thanks a million to you and your honesty.. 
 Got my parcel safe and sound and too muchhh Happy😊😍"
negative,very low quality....one bangles flower is missing..
negative,poor quality and poor stiching very loose not satisfied
negative,Fake ones.. These r not original ones as i got from another seller previously.. Low grade replicas dont recommend at all. They dont have figer space joiners. Also poor stitching with pathetic nylon fabric. Irregular finger shapes.
negative,See through fabric. Not comfortable👎. Dose not Recommended.
neutral,small size 😡 quality normal
neutral,I had recieved my order on time and safely. Good thing is that. Bit the quality of these gloves is just pathetic.
neutral,Its OK... not well quality but its ok with price.
negative,ill fitted gloves. unsatisfactory
negative,very see through fabric.and opening for eyes is very narrow(4cm) that bearly we can open our eyes..not recommend
neutral,Doesn’t fit properly. But overall ok as I only want to use them while driving
neutral,average quality
neutral,I like it.👍Its good for summer season.🤗Delivery was very fast. I've ordered it yesterday and received it today.🥰The quality is good but there is an issue with the finger size. Finger size is very short.😥
neutral,"Good quality product 
 But stitching is not that good 
 Overall it's good 👍"
positive,Gloves are good and size also fit in my hand.. 😍😍😍😍😍😍
positive,stuff is light and comfortable for summer wear.
positive,I recived my order today. It was surprisingly great. Thankyou
positive,"I recieved my parcel as it was shown in picture 🦋🦋
 Nice quality❤"
positive,same and high quality product
positive,it was wonderful
positive,"good highly recommended, lots of likes"
neutral,"more than expected, good one"
positive,soft and beautiful 💞
negative,Overpriced .. very simple product .. not recommended
negative,This was totally wrong order because we have not ordered these scrunchies we have ordered multi colored but this is inappropriate
negative,Don't order this as it is huge and not stretchable. looks very bad poor quality
negative,scrunchies us so big of my rest
negative,I didn’t get my things
neutral,Fine but not very good
neutral,it was just ok..not too good ..size is too small
negative,Didn't satisfy me. Poor quality. No colour selection rather cheap quality scrunchies.
negative,This product is not that good and expensive
neutral,not much satisfied.
negative,Alright not very good quality. Silk cloth is of low quality and not very soft or silky
neutral,same as shown but they are too big. seemed like small size in picture
neutral,the delivery a late and this was not the exact shde of red I wanted but overall poduct is good in
negative,oversized😲 expect more good but it was not that much good
negative,delivery was on time but it's price is high..and they r smaller in size
neutral,"recieved within the estimated time, quality is ok but 2 of them were loosened up just how the elasticity reduces with time when you use it."
positive,thnks for sending me a amazing parcel i love this sucrunchies shop again
neutral,Fair quality according to price
neutral,nice but expensive
positive,"Overall a very good experience. My only critic is that the silk fabric used could have been of better quality.
 Thank you."
neutral,I liked the scrunchie. 5/5 🥇 But I ordered Red and seller sent me Black. That is why I am giving 4 stars.
positive,"They look excellent,will use and see how they perform"
positive,Good in this price.thanks seller thanx draz
positive,"quality is good, delivery time was fast, I like it overall"
positive,"Satisfactory product in PKR 181, the seller was responsive and sent me the colours I asked. Looks handmade, fine quality."
neutral,Scrunchies are cute but i donk like the colors otherwise these r beautiful👍🏻
negative,"pretty useless, very small, not easy to open or close,very disappointing"
negative,I received totally different item and don't need that item. I don't know what to do.
negative,"very bad quality, received completely different poor quality two umbrellas, dont waste your money, horrible sevjce"
negative,very small in size this is just for 2 to 3 months kids
neutral,"Average product, just a toy..."
negative,Size is Too Short In That Price
negative,size was so small it is as a toy
neutral,It was very nice but one wire was broken maybe during shipping or something but it was good. Recommended
positive,A bit small in size but good quality. My kids are happy with it
neutral,Purchase Blue Umbrella but received purple. Came well packed and on commitment timeline. Overall good experience
negative,Very expensive for its size. Smaller than it looks in picture. Won’t recommend
positive,realy satisfied my children were enjoying 😊
positive,very nice product 😃😃 same as shown 🥰🥰owsem product
positive,"The Good Quality Umbrella , Fully satisfied."
neutral,Size is smaller than expected. But my girls love their umbrellas
positive,"it's just wow ....
 highly recommend"
positive,I ordered 2 umbrellas..my children love these.seller is very cooperative.thamx
positive,Amazing Sir... Kids happy so parents happy.
positive,My son like this umbrella 🙌
positive,oh my god ❤️ it's amazing product and quality is to much good 😊 highly recommend
positive,Beautiful Umbrella ☔ My Daughter really Happy to have . Quality is also good Thanks
positive,"good product 😍,good quality 😍 and cute colour 🥰 thank you 😍"
positive,gud thing for kids
negative,The size was too large. I had to drill 2 more holes in order for it to fit me.
neutral,"I placed an order for the light brown belt but received a dark one :( quality otherwise it is great, and adjustable as well."
positive,"Best belt in this price range the buckle is of very high quality as well the actual belt is, same as it is in pics, thank you seller"
positive,"Quality is awesome, 👌👌👌Glad to shop"
positive,"OMG!!!!! what a quality of this belt its beyond amazing, the best that i have ever get i tried some local markets and some daraz stores too but this store is offering very high quality belt at a very reasonable price. i am very happy with my purchase and am also going to buy more and more from this store. Thank you soooo much. 
 Service is 10 by 10"
positive,"It fits perfectly on me! Decent material for its price! I really struggle to find belts that fit. Sturdy and thick material, My new favorite belt , goes with all shorts jeans and denim , I’m in love, The quality of the belt is great. Better than expected for the price. Much better. Just buy it!"
positive,"I just loved it . i got same as shown in pic . quality was good in a reasonable price . loved it .Thank you so much. I am so happy, we may buy more from this seller soon"
positive,No fault. all okay. same as shown. trusted seller. recommended product
negative,i order brown send me black😡
neutral,"Quality overall great. Length is too long, my waist is small. I wish I can return."
negative,The one I ordered was different the one I received it is really shameful and intentionally cheating need to be loyal with customers
negative,on arm was broken idk if its the shipping problem or it was broken before but yeah what ever dont recommend product
neutral,"delivered on time, every thing is good except handle is missing, hope you will send soon I"
neutral,Quality is not upto mark...
neutral,according to price it was fine
positive,Nice and super. Thank you
positive,Nice and super. Thank you
positive,very good product seller is honest best umbrella and i like it
neutral,The quality of Umbrella is just so so but its Ok according to the price
positive,umbrella is looking good and I didn't open it till now but its looking good . Recommended
negative,just waste of money. I don't recommend anyone for this product. seen wonderful in looking but very very poor quality. you can purchase such thinks in just 50 rupees from cosmetic shop without time wasting and without delivery charges paying.
negative,"totally useless, cheap plastic is used and send me 6pcs instead of 7 totally disappointed"
negative,"product quality is not good and not of fine quality, very rough making...it is not useful for hairstyling as it catches hair strands in it..."
negative,Not worth what they show
negative,very Annoying .it was very bad quality
negative,ridiculous cheap material. never shop again
negative,I wanted to return it as soon as possible its useless
negative,very cheap quality... comb's teeth r joined
negative,"waste of money, time poor quality and packing worst experience"
negative,extreamly bad quality.
positive,I like these tools it's very easy to use thanks daraz 🤗🤗and product is delivered on time I am satisfied ❤️❤️
negative,I didn’t even get it and it says “delivered”
neutral,"Quality is good 
 But i have asked you for pink one 
 If you don't have then don't claim to have"
neutral,The product is good but the packaging isn't
positive,This is very cute.I likes it
positive,I am happy nice parcel 📦☺️☺️☺️ thanks darz
negative,pathetic customer service received a damaged piece its just like a toy
negative,their size r very small
neutral,Normal quality not so good not in this design there design is so common anyways 50% satisfied
neutral,it's just okay I thought it's big but it's a very small
neutral,very nice but very small in size
negative,eyebrow header and brush missing. not charging and not working at all. box not in a good shape
positive,happy to buy this from draz quality is too good
positive,amazing. it really works.
negative,i ordered 20 inch chain but they send me only 18 inch
negative,so bad quality and so small i just wanna say dont order anything from this store
negative,you send me wrong chain its very very bad experince with daraz
negative,it is so small to wear on neck it too small
negative,Poor quality. Size is too small. Disgusting and useless. Not Recommend....
negative,I have wasted it because I the size looks like that its for finger
negative,It is too small for neck and i can't even return it
negative,it is very good but the size is very small. it is so low quality it broke in 1 day
negative,i want my amount back it is not the product which i ordered secondly it is not in a good shape i mean the chain lock is very sharp which can cause damage the neck. kindly daraz help me with this product
negative,its fraud!! the image is fake! they gave chain size of bracelet!! stupid don't waste Ur money p trashh
negative,Do not buy not same very small size
negative,Its almost black like old used chain and size is too small for baby neck totally waste of money third class quality.
negative,recieved my parcel empty no reply upon contacting the seller extremely disappointed paid for NOTHING no refund nothing
negative,Sham on you daraz 😒
neutral,quality is nice but it is small in size
positive,best bracelate i like it
neutral,Not Bad At All Product Was Fine
positive,its very preety....thanks daraz & seller😍😍
negative,Product not same different picture and real or Product itna prizes ka ha be nahi😔😔😔first time very disappointed me draz
positive,product is so beautiful packing is also gd I recommed this product.
negative,poor paint quality worst experience
positive,bast bracelet ❤bast daraz
positive,"Great product, completely satisfied, recommended. 👍💫"
positive,Finishing is quite good im satisfied with this soon ill order more
positive,Looking good satisfied ❤️💯
negative,third class watch it was by single wearing lts get unstriched
negative,I order black but they sent white chain so beware from the store 😣😣😣
negative,send wrong color and watch belt quality is 3rd class.. Note for seller: plz contact your supplier or manufacturer and improve watch belt quality..
negative,When my watch reached I was so excited to open it.I opened and then I really disappointed that the watch was very bad at design and I was ordered for black but they sent me the brown one with the lowest quality
negative,thank you soo much for sending me this cheap broken watch 😡😡😡😡.
negative,fake saller change watch of colour
negative,very bad results
negative,when I open the parcel the watch was out of order . it's belt was broken
negative,not at desired standard. price are also high like product. in local market two or three hundred available.
negative,Very bad experience. the dial was broken..and the watch was not working
negative,3rd class copy.. Very cheap product. 🤮
negative,It's damaged. I can't wear it. Poor quality and packing as well
negative,Totally unsetisfied. Watch was full of scratches. Atleast should have sent new one. Somehow its working but I’m disappointed because it was a gift
negative,it has scratches amd the product doesn't looks new
neutral,I ordered copper colour but I got this blue colour but this colour is also nice
negative,it was totally damaged and used its time was wrong hardly i joined its parts it was my first experience so very bad .. i never recommend!
positive,"nicely packed, same as shown, same color which i ordered, highly recommended 😊👍"
positive,It was really good to receive it in good form. I am wearing it since i received it. Loved it. Took 6 days to deliver. But never mind i am feeling delighted by the product
neutral,"i really like the watch ⌚ but the strap quality was not well .
 There are some scratches.
 but overall watch is awesome.....
 i like it."
positive,"its wonderful experience, safe packing, 💯% original same as shown in pic, no doubt seller is cooperative and sincere person, I gave 5 star recommend to all thanks daraz and thanks seller"
positive,💯 satisfied thank you So much daraz on time delivery
neutral,I got my parcel Today. It iz awesome in quality. But packing was not good.. Highly recommend. Thanks daraz ❤️
positive,"Quite simple, Deliverd on time, Thank you."
positive,Delivered as i Order I Thankful for you........
positive,Slim and smart Card Holder Wallet like shown in figure. Colour is very Beautiful ❤️.
positive,"it's really nice product 😊 I love it 😍💕😍💕😍💕 it's sooooooooo Cute, thanks daraz & Sealers .💕😍❤️🥰🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳"
positive,Very Good and Fine Quality Product 😊 A good pockets Wallet in this price. Honest Seller.Recomended
positive,"Best Material
 Best Design
 Slim 
 Best Quality
 I'm suggesting for kids..
 wallet can hold maximum 8 to 10 currency notes"
positive,"Daraz app benefited for ourself.I totally satisfied from this app, Thanks 👍"
positive,"Parcel received, I am Satisfied with the product, delivered same as shown in the picture, quality is also good 👍"
positive,"It's worth purchasing at this price. Now, I comfortably take my card and some money in my pocket without embracing myself with a thick wallet.. Thanks seller."
negative,very bad quality. or dirty from one side seems like it used someone
negative,completely useless ..not even real jeans stuff ...size is really small
negative,its totally ruf material. i don't know why draz allowed these type of sellers
negative,not match with picture and description. Seller is selling fake items
negative,this was made of cards and paper really a third class quality wallet even the stitching was not completed it was a big scam
negative,Totally third grade. I have returned it but my money has not returned.
negative,it's for kids use only . poor quality.even mask paper have been used as inner covering.
neutral,They quality good. Smart and slim. But the one I got has a little defect on the corner. It is also defected on the inside. Recommended for those who want a slim and compact wallet for carying less cash and few card
neutral,Didn't good as expected.
negative,Extremely poor 🚫 and low-quality 👎🏻 materials have been used to manufacture this wallet. The seller should have specified that paper cards are used in this wallet instead of some sort of fabric. Good for kids but not❗ for adult people who want to carry money and use it regularly.
negative,A low quality product with no utility...
positive,Thank You So much Daraz For a very very Good product I am very happy to see a product Extremely beautiful♥️♥️thank a lot Daraz💯
positive,it was my 2nd order. both the experiences are good..thank you seller and daraz.. highly recommended
positive,nice Quality Wallet and keychain 100% recommended seller
positive,print packing box everything is prefect I highly recommended this seller buy in this prize really really good thing.u must b enjoy thanks Daraz and seller best of luck for the future I will give u 5 stars
positive,wonderful.experience.price reasonabla.and seller ki.coperative 💓thx daraz💌
positive,It was great experience. I am setisfy with the products. Their quilty is good
positive,Very good.. Same as my order. Delivery on time ..quality was also good. Recomonded
negative,The pictures printed on the wallet has cut and there is an empty space appeared on picture.
negative,"worst wallet ever, if you are looking to gift it to someone then have the most pathetic bad quality of wallet"
neutral,Wallet quality is not good . Otherwise customisation is very good .
positive,Good Product Key Chain and wallet.....
negative,Pic is good but quality or material is very poor
neutral,My wallet is quite good but box is not okay it should must b as it is mentioned in the pkg .....
positive,Packaging is very good. This is good for giving gift someone.Quality is ok👍🏻 .Satisfied with this product.Rate of 9/10.Recommended.Also deliever on time.🤝🏼
neutral,my order is just well I am not too satisfy..
neutral,very nice product thanks Daraz but box quality is very low
positive,AMAZING Product with suitable price❤️i just loved it❤️
positive,Nice product.... Good job draz
neutral,the quality of the product is good i highly recommend this product just the leather is a bit harder then expected
negative,Not satisfied with the built quality just simple bendable silver material i have ordered black but received in silver colour just buy and throw product
negative,Low Quality like plastic don't wast your money
negative,"looks good in hands but i cannot trust this one as when i inserted cards and shook it, one of my cards went out and fell on the ground. Not a good value for money"
positive,It's really amazing and this is soo good for my cards.
negative,it's not a good quality in picture it's look like very impressive but when I receive parcel it's poor quality
negative,QUALITY OF THE WALLET IS VERY POOR NOT SATISFIED WITH THIS PRODUCT I WILL RECOMMENED NOT TO BUY THIS PRODUCT ITS TOTALLY A LOSS OF MONEY THE ONE I ORDERED BEFORE WAS GOOD AND ITS QUALITY WAS GOOD 😳 😠😠 😡😡😡 THE 3rd AND 4th PIC IS OF THE ONE THAT I ORDERED BEFORE I MESSAGED THEIR STORE AND TELL THEM BUT THEY ONLY SND ME A SAD EMOJI 😡😡😡😡😡 THE WALLET IS DAMAGED FROM SIDES ALSO
negative,size to small it's not good don't waste your money but from any shop but don't buy here it's cheat
negative,pathetic wallet and bad quality. Highly not recommend. 😡😡
negative,bro what is this i get nothing and he says your order has been delivered I need refund
positive,"great quality, perfect size, and really spacious.. my 104 keys keyboard fit in perfectly, there was no need to stretch or pull the bag to fit the keyboard and still got a lot of space remaining..."
positive,l'm sharing my honest review about this product.. according to price that quality is good...thank your daraz .. it's my first experience.. I'm happy with your service 👍💯...
positive,Superb Laptop Bag 💻.
positive,Perfect Bag Soft Beautiful Good Stitching Dell log I am Satisfied Thanks Seller Beautiful Full Color
